"currency","id","country","category_id","price_ticket_amount","purchased_at","quantity_sold"
"AUD",22101214,"AU",5011,38.50,"2018-01-25 22:55:25",1
"USD",15593887,"US",1011,30.74,"2018-01-25 22:55:23",1
"USD",21308389,"CZ",1007,0.00,"2018-01-25 22:55:21",1
"GBP",9489203,"",15001,23.40,"2018-01-25 22:55:17",3
"USD",21373255,"US",1007,0.00,"2018-01-25 22:55:14",1
"USD",21119847,"US",NULL,0.00,"2018-01-25 22:55:06",1
"CAD",14479982,"CA",7001,0.00,"2018-01-25 22:54:59",1
"USD",21493104,"US",199,16.37,"2018-01-25 22:54:59",1
"AUD",21480773,"AU",NULL,47.27,"2018-01-25 22:54:58",1
"AUD",15259269,"AU",11008,39.90,"2018-01-25 22:54:57",1
"GBP",22218250,"GB",1007,0.00,"2018-01-25 22:54:54",1
"CAD",19548974,"CA",2004,0.00,"2018-01-25 22:54:53",1
"SGD",22874625,"SG",112,0.00,"2018-01-25 22:54:53",1
"USD",11369215,"US",115,0.00,"2018-01-25 22:54:51",1
"USD",11369215,"US",115,0.00,"2018-01-25 22:54:51",1
"USD",11369215,"US",115,0.00,"2018-01-25 22:54:51",1
"AUD",22065067,"AU",101,0.00,"2018-01-25 22:54:47",1
"USD",21121269,"US",NULL,0.00,"2018-01-25 22:54:41",1
"USD",22201063,"US",5010,0.00,"2018-01-25 22:54:35",1
"USD",22703635,"US",113,0.00,"2018-01-25 22:54:24",1
"AUD",21130919,"AU",3010,0.00,"2018-01-25 22:54:21",1
"AUD",21130919,"AU",3010,0.00,"2018-01-25 22:54:21",1
"GBP",18453052,"GB",110,0.00,"2018-01-25 22:54:21",2
"EUR",22606546,"ES",199,0.00,"2018-01-25 22:54:17",1
"NZD",20496048,"NZ",101,179.07,"2018-01-25 22:54:14",3
"USD",22850530,"US",NULL,367.44,"2018-01-25 22:54:13",1
